Location_Name,Latitude,Longitude,Financial_Institution_Type,Address,City_ST_Zip,State,District,Party,Party_Color,Outline_Color,Website,Phone,Background_Color,Text_Color
Akiptan,44.99946623,-101.2344153,Loan Fund,408 S Main St,"Eagle Butte, SD 57625",SD,SD00,R,#e81b23,#000,https://www.akiptan.org/,605-301-0581,#d0a85f,#000
Alaska Growth Capital,61.18596723,-149.891652,Loan Fund,3800 Centerpoint Dr Ste 1130,"Anchorage, AK 99503",AK,AK00,R,#e81b23,#000,https://www.alaskagrowth.com/,907-339-6760,#19597d,#FFF
Bay Bank,44.49317571,-88.10461795,Bank,2555 Packerland Dr,"Green Bay, WI 54313",WI,WI08,R,#e81b23,#000,https://www.baybankgb.com/,920-490-7600,#60308b,#717373
Black Hills Community Loan Fund,44.07647131,-103.1827899,Loan Fund,1764 Ctr St Ste 1,"Rapid City, SD 57703",SD,SD00,R,#e81b23,#000,https://bhclf.org/,605-519-5124,#000,#FFF
Chehalis Tribal Loan Fund,46.81450452,-123.1735273,Loan Fund,420 Howanut Rd,"Oakville, WA 98568",WA,WA06,D,#00aef3,#000,https://www.chehalistribe.org/businesses/tribal-loan-fund/,360-709-1631,#d0010f,#4b4b4b
"Chi Ishobak, Inc.",41.95915189,-86.08939346,Loan Fund,27043 Potawatomi Trl,"Dowagiac, MI 49047",MI,MI05,R,#e81b23,#000,https://www.chiishobak.org/,269-783-4157,#00456a,#FFF
Chickasaw Community Bank,35.6084355,-97.64675346,Bank,7500 W Memorial Rd,"Oklahoma City, OK 73142",OK,OK05,R,#e81b23,#000,https://www.ccb.bank/,405-946-2265,#092648,#FFF
Choctaw Federal Credit Union,32.77205342,-89.19149476,Credit Union,203 Choctaw Town Ctr,"Choctaw, MS 39350",MS,MS03,R,#e81b23,#000,https://choctaw.virtualcu.net/, 601-676-0566,#737373,#FFF
Choctaw Home Finance Corporation,34.00055126,-95.50719754,Loan Fund,1005 S 5th St,"Hugo, OK 74743",OK,OK02,R,#e81b23,#000,https://www.choctawnation.com/,800-522-6170,#000,#FFF
Citizen Potawatomi Community Development Corporation,35.30297429,-96.92539783,Loan Fund,1545 Gordon Cooper Dr,"Shawnee, OK 74801",OK,OK05,R,#e81b23,#000,https://cpcdc.org/,405-878-4697,#a01f15,#FFF
Community Development Financial Institution of the Tohono O'odham Nation,31.9150118,-111.8876608,Loan Fund,"1 Main St, Tohono Plz Ste 201","Sells, AZ 85634",AZ,AZ07,V,#808080,#000,https://cdfiton.org/,520-383-0790,#047482,#FFF
Cook Inlet Lending Center,61.18780001,-149.9098316,Loan Fund,"3600 Spenard Rd, Ste 100","Anchorage, AK 99503",AK,AK00,R,#e81b23,#000,https://cookinletlending.com/,907-793-3058,#FFC533,#000
Council for Native Hawaiian Advancement,21.33843432,-158.0555847,Loan Fund,"91-1270 Kinoiki St, Bldg. 1","Kapolei, HI 96707",HI,HI01,D,#00aef3,#000,https://www.hawaiiancouncil.org/,808-596-8155,#03343f,#FFF
First American Capital Corporation,42.93997401,-88.04710044,Loan Fund,10710 W Scharles Ave,"Hale Corners, WI 53130",WI,WI01,R,#e81b23,#000,https://www.aiccw-facc.org/,414-604-2044,#232323,#FCF5E1
First Nations Community Financial,44.29275485,-90.84246308,Loan Fund,206 S. Roosevelt Rd Ste 123,"Black River Falls, WI 54615",WI,WI03,R,#e81b23,#000,https://firstnationsfinancial.org/,715-284-2470,#666,#FFF
Five Rivers Loan Fund,41.7901003,-123.3816605,Loan Fund,PO Box 805,"Happy Camp, CA 96039",CA,CA01,R,#e81b23,#000,https://5rlf.org/,530-493-2558,#333,#ECDEC9
Four Bands Community Fund,44.99976551,-101.234789,Loan Fund,412 S Main St,"Eagle Butte, SD 57625",SD,SD00,R,#e81b23,#000,https://fourbands.org/,605-964-3687,#FFF7ea,#4f5449
Four Directions Development Corporation,44.89886428,-68.68322655,Loan Fund,20 Godfrey Dr,"Orono, ME 4473",ME,ME02,D,#00aef3,#000,https://fourdirectionsmaine.org/,207-866-6545,#333,#FFF
Haa Yakaawu Financial Corporation,58.35584777,-134.4898018,Loan Fund,5446 Jenkins Dr,"Juneau, AK 99801",AK,AK00,R,#e81b23,#000,https://hyfclending.com/,907-780-6868,#2F4964,#FFF
Hawaii Central Federal Credit Union,21.30317107,-157.8544268,Credit Union,681 S King St,"Honolulu, HI 96813",HI,HI01,D,#00aef3,#000,https://hawaiicentral.org/,(808) 536-3677,#EBEBEB,#503287
Hawaii Community Lending,19.73405558,-155.0414965,Loan Fund, 1315 Kalaniana’ole Ave,"Hilo, HI 96720",HI,HI02,D,#00aef3,#000,https://hawaiicommunitylending.com/,808-587-7656,#14213F,#FFF
Hawaii First Federal Credit Union,20.02033598,-155.6679043,Credit Union,67-1187 Mamalahoa Hwy,"Kamuela, HI 96743",HI,HI02,D,#00aef3,#000,https://www.hawaiifirstfcu.com/,808-885-7349,#434343,#FFF
HoChunk Community Capital,42.24419677,-96.47045748,Loan Fund,509 HoChunk Plaza N,"Winnebago, NE 68071",NE,NE03,R,#e81b23,#000,https://hochunkcdfi.org/,402-878-2192,#1d4a5d,#FFF
Hopi Credit Association,35.80893102,-110.1919692,Loan Fund,100 Main Street KC-53,"Keams Canyon, AZ 86034",AZ,AZ02,R,#e81b23,#000,https://hopicredit.us/,928-738-2205,#720d28,#FFF
Indian Land Capital Company,45.01371259,-93.09528335,Loan Fund,151 County Rd B2 E,"Little Canada, MN 55117",MN,MN04,D,#00aef3,#000,https://www.ilcc.net/,651-789-1740,#292531,#FFF
